ID,Target
ID_AAAAhgRX, nye be nye me le wo nu sia me 
ID_AChdWHyF, la le esi menɔ esi menɔ esi menɔ me o 
ID_AHBSoUNL, ele be nu si le eƒe me be nye la le eƒe gbe me ɖ
ID_AHycIkQv, nye le eƒe me la ame o eye be ame siwo wole la w
ID_AIWTdKBT, esi nye be be ame aɖe si le eƒe le eƒe me be l
ID_AKMeAxnm, le esi me wole be yeƒe la ne le eƒe me be la n
ID_ALcxaVai, nye be nye le me le esi nye me be nye le eƒe m
ID_ALtrXZtF," le esi me la, be ame aɖe o elabe la ame ƒe nya"
ID_AMdlvzgy, nye me le eƒe me nam 
ID_AMhnRHii, na ame siwo le na la le eƒe eƒe gbe me be eƒe gb
ID_ANDzizYb, nye nye me kpli 
ID_APOggBrx, menye o elabe ame aɖeke mele o abe ame ene o 
ID_ASIVFemS, ke esi wonɔ esi wonɔ esi wonɔ esi wonɔ eƒe me la
ID_ASkEBgiy, ebe esia nye me le eƒe me eye be ame o be la n
ID_AUqoDDwB, ebe nye le eƒe eƒe me le eƒe gbe me hafi wo ta 
ID_AVYDoijW, eye ame siwo katã va yi 
ID_AWZOWMEh, nye nye me le wo 
ID_AXIHuXTu, nu ka mele eme le eme 
ID_AXtGPyfp, na ame siwo le la mele abe ene o eye be ame ŋu
ID_AYErhcry, ke hã nye me o 
ID_AYJIjbgn," esi menɔ la le la, esia eƒe asi le me la "
ID_AaEepkfV, be ame siwo le eƒe eƒe agbe me le la o eye be ame
ID_AbYiEARK, ele be nye be le eƒe eƒe gbe me le eƒe gbe me be
ID_AbsbljCO," nye le esi me wole eƒe gbe la, eƒe be nye gbe l"
ID_AcOjEIui, la nɔ nu sia ame aɖe 
ID_AfBwXuCV," la ɖe esi yeƒe me la, be ame ha ƒe ha la le eƒe"
ID_AfDXwAiY, ame siwo le na la le eƒe eƒe be le eƒe gbe me be
ID_AfsEascj, nye be ame si le eƒe me le la le eƒe agbe me b
ID_AhFwOltW, esia nye be nye le eƒe me be nye gbe la le eƒe
ID_AhmMvwDL," le eƒe eƒe gbe me la, be ame ƒe o gake eƒe gbe m"
ID_AhvGTFgi, la ame ƒe nya eve le eƒe eƒe eƒe agbalẽ me le
ID_AiUyndcI," nye nye me le abe ene la, ame aɖeke ne nye me o"
ID_AkEuLiOu, ne ame siwo va yi la mele abe alesi ame ene o 
ID_AksrIldF, nye kple nye le esi nye me be nye kple nye nye m
